date_iso,date_label,day,festival,month,source_url
,"September 10, 2026 / १० सप्टेंबर २०२६",Thursday / गुरुवार,Pithori Amavasya / पिठोरी अमावस्या,september,https://kalnirnay.co.in/september/
,"September 11, 2026 / ११ सप्टेंबर २०२६",Friday / शुक्रवार,Pola / पोळा,september,https://kalnirnay.co.in/september/
,"September 11, 2026 / ११ सप्टेंबर २०२६",Friday / शुक्रवार,Vrishabhotsava / वृषभोत्सव,september,https://kalnirnay.co.in/september/
,"September 14, 2026 / १४ सप्टेंबर २०२६",Monday / सोमवार,Hartalika Teej / हरितालिका तीज,september,https://kalnirnay.co.in/september/
,"September 14, 2026 / १४ सप्टेंबर २०२६",Monday / सोमवार,Ganesh Chaturthi / गणेश चतुर्थी,september,https://kalnirnay.co.in/september/
,"September 15, 2026 / १५ सप्टेंबर २०२६",Tuesday / मंगलवार,Rishi Panchami / ऋषि पंचमी,september,https://kalnirnay.co.in/september/
,"September 17, 2026 / १७ सप्टेंबर २०२६",Thursday / गुरुवार,Gauri Avahana / गौरी अवाहन,september,https://kalnirnay.co.in/september/
,"September 17, 2026 / १७ सप्टेंबर २०२६",Thursday / गुरुवार,Kanya Sankranti / कन्या संक्रांत,september,https://kalnirnay.co.in/september/
,"September 18, 2026 / १८ सप्टेंबर २०२६",Friday / शुक्रवार,Gauri Puja / गौरी पूजा,september,https://kalnirnay.co.in/september/
,"September 19, 2026 / १९ सप्टेंबर २०२६",Saturday / शनिवार,Gauri Visarjan / गौरी विसर्जन,september,https://kalnirnay.co.in/september/
,"September 22, 2026 / २२ सप्टेंबर २०२६",Tuesday / मंगलवार,Parsva Ekadashi / पार्श्व एकादशी,september,https://kalnirnay.co.in/september/
,"September 25, 2026 / २५ सप्टेंबर २०२६",Friday / शुक्रवार,Ganesh Visarjan / गणेश विसर्जन,september,https://kalnirnay.co.in/september/
,"September 29, 2026 / २९ सप्टेंबर २०२६",Tuesday / मंगलवार,Vighnaraja Sankashti / विघ्नराज संकष्टि,september,https://kalnirnay.co.in/september/
,"October 6, 2026 / ०६ ऑक्टोबर २०२६",Tuesday / मंगलवार,Indira Ekadashi / इंदिरा एकादशी,october,https://kalnirnay.co.in/october/
,"October 11, 2026 / ११ ऑक्टोबर २०२६",Sunday / रविवार,Navratri Begins / नवरात्र प्रारंभ,october,https://kalnirnay.co.in/october/
,"October 11, 2026 / ११ ऑक्टोबर २०२६",Sunday / रविवार,Ghatasthapana / घटस्थापना,october,https://kalnirnay.co.in/october/
,"October 16, 2026 / १६ ऑक्टोबर २०२६",Friday / शुक्रवार,Saraswati Avahan / सरस्वती अवाहन,october,https://kalnirnay.co.in/october/
,"October 17, 2026 / १७ ऑक्टोबर २०२६",Saturday / शनिवार,Saraswati Puja / सरस्वती पूजा,october,https://kalnirnay.co.in/october/
